AllSubjectsCV, Fold 0, Epoch 46, Train ACC: 1.0000, Val ACC: 0.7440
AllSubjectsCV, Fold 0, Epoch 47, Train ACC: 1.0000, Val ACC: 0.7389
AllSubjectsCV, Fold 0, Best Epoch: 37, Final Val ACC: 0.7466, Final Val F1: 0.7467

AllSubjectsCV, Fold 1, Epoch 1, Train ACC: 0.4209, Val ACC: 0.4732
AllSubjectsCV, Fold 1, Epoch 2, Train ACC: 0.4937, Val ACC: 0.4690
AllSubjectsCV, Fold 1, Epoch 3, Train ACC: 0.5295, Val ACC: 0.5340
AllSubjectsCV, Fold 1, Epoch 4, Train ACC: 0.5369, Val ACC: 0.5204
AllSubjectsCV, Fold 1, Epoch 5, Train ACC: 0.5480, Val ACC: 0.5230
AllSubjectsCV, Fold 1, Epoch 6, Train ACC: 0.5521, Val ACC: 0.5587
AllSubjectsCV, Fold 1, Epoch 7, Train ACC: 0.5636, Val ACC: 0.5085
AllSubjectsCV, Fold 1, Epoch 8, Train ACC: 0.5716, Val ACC: 0.5642
AllSubjectsCV, Fold 1, Epoch 9, Train ACC: 0.5751, Val ACC: 0.5578
AllSubjectsCV, Fold 1, Epoch 10, Train ACC: 0.5786, Val ACC: 0.5527
AllSubjectsCV, Fold 1, Epoch 11, Train ACC: 0.5790, Val ACC: 0.5621
AllSubjectsCV, Fold 1, Epoch 12, Train ACC: 0.5903, Val ACC: 0.5693
AllSubjectsCV, Fold 1, Epoch 13, Train ACC: 0.5873, Val ACC: 0.5412
AllSubjectsCV, Fold 1, Epoch 14, Train ACC: 0.5946, Val ACC: 0.5604
AllSubjectsCV, Fold 1, Epoch 15, Train ACC: 0.5928, Val ACC: 0.5723
AllSubjectsCV, Fold 1, Epoch 16, Train ACC: 0.6027, Val ACC: 0.5651
AllSubjectsCV, Fold 1, Epoch 17, Train ACC: 0.6016, Val ACC: 0.5706
AllSubjectsCV, Fold 1, Epoch 18, Train ACC: 0.5979, Val ACC: 0.5727
AllSubjectsCV, Fold 1, Epoch 19, Train ACC: 0.6034, Val ACC: 0.5587
AllSubjectsCV, Fold 1, Epoch 20, Train ACC: 0.6069, Val ACC: 0.5506
AllSubjectsCV, Fold 1, Epoch 21, Train ACC: 0.6113, Val ACC: 0.5791
AllSubjectsCV, Fold 1, Epoch 22, Train ACC: 0.6167, Val ACC: 0.5753
AllSubjectsCV, Fold 1, Epoch 23, Train ACC: 0.6119, Val ACC: 0.5761
AllSubjectsCV, Fold 1, Epoch 24, Train ACC: 0.6190, Val ACC: 0.5625
AllSubjectsCV, Fold 1, Epoch 25, Train ACC: 0.6202, Val ACC: 0.5829
AllSubjectsCV, Fold 1, Epoch 26, Train ACC: 0.6223, Val ACC: 0.5727
AllSubjectsCV, Fold 1, Epoch 27, Train ACC: 0.6207, Val ACC: 0.5833
AllSubjectsCV, Fold 1, Epoch 28, Train ACC: 0.6252, Val ACC: 0.5706
AllSubjectsCV, Fold 1, Epoch 29, Train ACC: 0.6238, Val ACC: 0.5757
AllSubjectsCV, Fold 1, Epoch 30, Train ACC: 0.6253, Val ACC: 0.5842
AllSubjectsCV, Fold 1, Epoch 31, Train ACC: 0.6213, Val ACC: 0.5706
AllSubjectsCV, Fold 1, Epoch 32, Train ACC: 0.6253, Val ACC: 0.5693
AllSubjectsCV, Fold 1, Epoch 33, Train ACC: 0.6283, Val ACC: 0.5723
AllSubjectsCV, Fold 1, Epoch 34, Train ACC: 0.6296, Val ACC: 0.5761
AllSubjectsCV, Fold 1, Epoch 35, Train ACC: 0.6324, Val ACC: 0.5833
AllSubjectsCV, Fold 1, Epoch 36, Train ACC: 0.6325, Val ACC: 0.5736
AllSubjectsCV, Fold 1, Epoch 37, Train ACC: 0.6253, Val ACC: 0.5770
AllSubjectsCV, Fold 1, Epoch 38, Train ACC: 0.6266, Val ACC: 0.5859
AllSubjectsCV, Fold 1, Epoch 39, Train ACC: 0.6362, Val ACC: 0.5702
AllSubjectsCV, Fold 1, Epoch 40, Train ACC: 0.6362, Val ACC: 0.5812
AllSubjectsCV, Fold 1, Epoch 41, Train ACC: 0.6322, Val ACC: 0.5829
AllSubjectsCV, Fold 1, Epoch 42, Train ACC: 0.6273, Val ACC: 0.5855
AllSubjectsCV, Fold 1, Epoch 43, Train ACC: 0.6384, Val ACC: 0.5744
AllSubjectsCV, Fold 1, Epoch 44, Train ACC: 0.6350, Val ACC: 0.5876
AllSubjectsCV, Fold 1, Epoch 45, Train ACC: 0.6395, Val ACC: 0.5867
AllSubjectsCV, Fold 1, Epoch 46, Train ACC: 0.6341, Val ACC: 0.5774
AllSubjectsCV, Fold 1, Epoch 47, Train ACC: 0.6357, Val ACC: 0.5727
AllSubjectsCV, Fold 1, Epoch 48, Train ACC: 0.6408, Val ACC: 0.5570
AllSubjectsCV, Fold 1, Epoch 49, Train ACC: 0.6401, Val ACC: 0.5723
AllSubjectsCV, Fold 1, Epoch 50, Train ACC: 0.6414, Val ACC: 0.5565
AllSubjectsCV, Fold 1, Best Epoch: 44, Final Val ACC: 0.5876, Final Val F1: 0.5849

AllSubjectsCV, Fold 1, Epoch 1, Train ACC: 0.5850, Val ACC: 0.5153
AllSubjectsCV, Fold 1, Epoch 2, Train ACC: 0.7070, Val ACC: 0.6641
AllSubjectsCV, Fold 1, Epoch 3, Train ACC: 0.8079, Val ACC: 0.6293
AllSubjectsCV, Fold 1, Epoch 4, Train ACC: 0.8985, Val ACC: 0.6539
AllSubjectsCV, Fold 1, Epoch 5, Train ACC: 0.9510, Val ACC: 0.6590
AllSubjectsCV, Fold 1, Epoch 6, Train ACC: 0.9744, Val ACC: 0.6641
AllSubjectsCV, Fold 1, Epoch 7, Train ACC: 0.9684, Val ACC: 0.6488
AllSubjectsCV, Fold 1, Epoch 8, Train ACC: 0.9790, Val ACC: 0.6535
AllSubjectsCV, Fold 1, Epoch 9, Train ACC: 0.9790, Val ACC: 0.6730
AllSubjectsCV, Fold 1, Epoch 10, Train ACC: 0.9839, Val ACC: 0.6726
AllSubjectsCV, Fold 1, Epoch 11, Train ACC: 0.9838, Val ACC: 0.6586
AllSubjectsCV, Fold 1, Epoch 12, Train ACC: 0.9801, Val ACC: 0.6356
AllSubjectsCV, Fold 1, Epoch 13, Train ACC: 0.9866, Val ACC: 0.6935
AllSubjectsCV, Fold 1, Epoch 14, Train ACC: 0.9785, Val ACC: 0.6790
AllSubjectsCV, Fold 1, Epoch 15, Train ACC: 0.9912, Val ACC: 0.6781
AllSubjectsCV, Fold 1, Epoch 16, Train ACC: 0.9885, Val ACC: 0.6888
AllSubjectsCV, Fold 1, Epoch 17, Train ACC: 0.9853, Val ACC: 0.6960
AllSubjectsCV, Fold 1, Epoch 18, Train ACC: 0.9912, Val ACC: 0.6926
AllSubjectsCV, Fold 1, Epoch 19, Train ACC: 0.9883, Val ACC: 0.7100
AllSubjectsCV, Fold 1, Epoch 20, Train ACC: 0.9869, Val ACC: 0.6888
AllSubjectsCV, Fold 1, Epoch 21, Train ACC: 0.9908, Val ACC: 0.6871
AllSubjectsCV, Fold 1, Epoch 22, Train ACC: 0.9951, Val ACC: 0.6892
AllSubjectsCV, Fold 1, Epoch 23, Train ACC: 0.9853, Val ACC: 0.7134
AllSubjectsCV, Fold 1, Epoch 24, Train ACC: 0.9981, Val ACC: 0.6288
AllSubjectsCV, Fold 1, Epoch 25, Train ACC: 0.9854, Val ACC: 0.6977
AllSubjectsCV, Fold 1, Epoch 26, Train ACC: 0.9887, Val ACC: 0.6798
AllSubjectsCV, Fold 1, Epoch 27, Train ACC: 0.9955, Val ACC: 0.6658
AllSubjectsCV, Fold 1, Epoch 28, Train ACC: 0.9877, Val ACC: 0.6756
AllSubjectsCV, Fold 1, Epoch 29, Train ACC: 0.9955, Val ACC: 0.7100
AllSubjectsCV, Fold 1, Epoch 30, Train ACC: 0.9915, Val ACC: 0.6769
AllSubjectsCV, Fold 1, Epoch 31, Train ACC: 0.9927, Val ACC: 0.7041
AllSubjectsCV, Fold 1, Epoch 32, Train ACC: 0.9915, Val ACC: 0.6726
AllSubjectsCV, Fold 1, Epoch 33, Train ACC: 0.9932, Val ACC: 0.6969
AllSubjectsCV, Fold 1, Best Epoch: 23, Final Val ACC: 0.7134, Final Val F1: 0.7130

