subject_11, Epoch 1, Test Accuracy: 32.50%
subject_11, Epoch 2, Test Accuracy: 30.00%
subject_11, Epoch 3, Test Accuracy: 40.00%
subject_11, Epoch 4, Test Accuracy: 38.33%
subject_11, Epoch 5, Test Accuracy: 35.00%
subject_11, Epoch 6, Test Accuracy: 45.00%
subject_11, Epoch 7, Test Accuracy: 40.00%
subject_11, Epoch 8, Test Accuracy: 37.50%
subject_11, Epoch 9, Test Accuracy: 39.17%
subject_11, Epoch 10, Test Accuracy: 37.50%
subject_11, Epoch 1, Test Accuracy: 39.17%
subject_11, Epoch 2, Test Accuracy: 43.33%
subject_11, Epoch 3, Test Accuracy: 43.33%
subject_11, Epoch 4, Test Accuracy: 44.17%
subject_11, Epoch 5, Test Accuracy: 44.17%
subject_11, Epoch 6, Test Accuracy: 46.67%
subject_11, Epoch 7, Test Accuracy: 43.33%
subject_11, Epoch 8, Test Accuracy: 44.17%
subject_11, Epoch 9, Test Accuracy: 47.50%
subject_11, Epoch 10, Test Accuracy: 45.83%
subject_11, Epoch 11, Test Accuracy: 45.83%
subject_11, Epoch 12, Test Accuracy: 47.50%
subject_11, Epoch 13, Test Accuracy: 46.67%
subject_11, Epoch 14, Test Accuracy: 46.67%
subject_11, Epoch 15, Test Accuracy: 46.67%
subject_12, Epoch 1, Test Accuracy: 27.50%
subject_12, Epoch 2, Test Accuracy: 35.00%
subject_12, Epoch 3, Test Accuracy: 38.33%
subject_12, Epoch 4, Test Accuracy: 27.50%
subject_12, Epoch 5, Test Accuracy: 27.50%
subject_12, Epoch 6, Test Accuracy: 37.50%
subject_12, Epoch 7, Test Accuracy: 45.00%
subject_12, Epoch 8, Test Accuracy: 39.17%
subject_12, Epoch 9, Test Accuracy: 44.17%
subject_12, Epoch 10, Test Accuracy: 38.33%
subject_12, Epoch 1, Test Accuracy: 50.00%
subject_12, Epoch 2, Test Accuracy: 52.50%
subject_12, Epoch 3, Test Accuracy: 41.67%
subject_12, Epoch 4, Test Accuracy: 50.00%
subject_12, Epoch 5, Test Accuracy: 41.67%
subject_12, Epoch 6, Test Accuracy: 42.50%
subject_12, Epoch 7, Test Accuracy: 39.17%
subject_12, Epoch 8, Test Accuracy: 41.67%
subject_12, Epoch 9, Test Accuracy: 41.67%
subject_12, Epoch 10, Test Accuracy: 47.50%
subject_12, Epoch 11, Test Accuracy: 47.50%
subject_12, Epoch 12, Test Accuracy: 47.50%
subject_12, Epoch 13, Test Accuracy: 48.33%
subject_12, Epoch 14, Test Accuracy: 47.50%
subject_12, Epoch 15, Test Accuracy: 48.33%
subject_13, Epoch 1, Test Accuracy: 48.33%
subject_13, Epoch 2, Test Accuracy: 41.67%
subject_13, Epoch 3, Test Accuracy: 50.00%
subject_13, Epoch 4, Test Accuracy: 58.33%
subject_13, Epoch 5, Test Accuracy: 50.00%
subject_13, Epoch 6, Test Accuracy: 51.67%
subject_13, Epoch 7, Test Accuracy: 52.50%
subject_13, Epoch 8, Test Accuracy: 60.00%
subject_13, Epoch 9, Test Accuracy: 52.50%
subject_13, Epoch 10, Test Accuracy: 60.00%
subject_13, Epoch 1, Test Accuracy: 57.50%
subject_13, Epoch 2, Test Accuracy: 65.83%
subject_13, Epoch 3, Test Accuracy: 63.33%
subject_13, Epoch 4, Test Accuracy: 67.50%
subject_13, Epoch 5, Test Accuracy: 64.17%
subject_13, Epoch 6, Test Accuracy: 69.17%
subject_13, Epoch 7, Test Accuracy: 67.50%
